Station Name,Start Date,Start Time Zone,End Date,End Time Zone,Total Duration (hh:mm:ss),Charging Time (hh:mm:ss),Energy (kWh),Port Number,EVSE ID,City,Plug In Event Id
GOOGLE / MTV-45-07,2/22/12 8:54,PST,2/22/12 16:42,PST,7:48:21,1:58:18,6.222823,1,4896,Mountain View,1040
GOOGLE / MTV-QD1-04,2/22/12 9:09,PST,2/22/12 16:42,PST,7:32:41,5:12:11,28.72472,2,87357,Mountain View,1191
GOOGLE / SVL-PSB-1-26,2/22/12 8:26,PST,2/22/12 16:42,PST,8:15:12,3:58:30,17.383764,2,100343,Sunnyvale,722
GOOGLE / MTV-1395-07,2/22/12 10:16,PST,2/22/12 16:42,PST,6:25:12,2:49:05,10.607202,1,107217,Mountain View,414
GOOGLE / MTV-QD7-01,2/22/12 11:21,PST,2/22/12 16:41,PST,5:20:02,3:30:36,15.037571,1,58713,Mountain View,2601
GOOGLE / MTV-PR55-02,2/22/12 8:17,PST,2/22/12 16:41,PST,8:24:12,2:19:16,7.693313,2,121471,Mountain View,361
GOOGLE / MTV-41-06,2/22/12 12:16,PST,2/22/12 16:41,PST,4:25:07,4:24:57,14.479089,2,8881,Mountain View,1456258572
GOOGLE / MTV-1667-02,2/22/12 8:33,PST,2/22/12 16:41,PST,8:08:19,3:43:26,15.617283,2,48203,Mountain View,1428
GOOGLE / SVL-PSB-1-06,2/22/12 14:58,PST,2/22/12 16:41,PST,1:42:13,1:12:40,4.524949,1,101961,Sunnyvale,680
